company,employmenttype_jobstatus,skills
"iSpace, Inc","Full Time, Full Time",Technical Infrastructure Project Manager
"VanderHouwen & Associates, Inc.","Full Time, Full time",SQL Reporting Services Suite
Tellus Solutions,"Contract W2, 6 Months","Project coordinator,procurement,budget"
"Akraya, Inc.","Contract W2, 4+ mos","DEVOPS ENGINEER, SYSTEM ENGINEER, BUILD RELEASE ENGINEER, PYTHON, SHELL, PERL, BASH, LINUX, UNIX, RHEL, CENTOS, PERFORCE, JENKINS, MAVEN, CONTINUOUS INTEGRATION"
"iSpace, Inc","Full Time, Fulltime","Oracle R12 E-Business, General Ledger, Asset Management, Projects, AME, Workflow etc."
"VanderHouwen & Associates, Inc.",,Telecommuting not available Travel not required
CSI (Consultant Specialists Inc.),"Contract W2, C2H W2, 6 months +","Scientific Software, Business Analyst, Drug Development, biotech, pharma, data extraction, visualization SQL, R, Spotfire, user training,"
Genesis10,"Full Time, Contract","Application, C++, Development, Engineer, Engineering, J2EE, Java, Linux, Network, Programming, Python, Shell Script, Software, System"
Fahrenheit IT Staffing & Consulting,,Telecommuting not available Travel not required
Eastridge Workforce Solutions,"Contract W2, Contract",(See Job Description)
Amazon,"Full Time, Full time","Global FBA is looking for a passionate, talented product manager to develop pricing recommendations for the global business. The ideal candidate has outstanding business acumen and judgment, intense curiosity, excellent analytical abilities, strong technical skills, superior written and verbal communication skills, and the ability to influence cross-functional teams. He/she will have a strong bias toward data driven decision making. He/she will be a self-starter, comfortable with ambiguity and juggling multiple projects, able to think big and be creative (while paying careful attention to detail), and will enjoy working in a fast-paced dynamic environment. He/she will work closely with Marketing, Operations, and Finance teams around the world. The scope for this role includes the following: Identify, develop, manage, and execute analyses to uncover areas of opportunity and present written business recommendations that will help shape the future of FBA. Drive development of quantitative models necessary for the evaluation and implementation of new pricing strategies. Collaborate with product managers to develop pricing recommendations for new features or services. Manage fee development and implementation, including long term project planning and development resource allocation. Report key insights and trends, using statistical rigor to simplify and inform the larger team of noteworthy story lines. Collaborate with finance and product management as a leader of quantitative analysis. Analyze and solve business problems at their root, stepping back to understand the broader context. Develop solutions that utilize the highest standards of analytical rigor and data integrity. Recognize and adopt best practices in reporting and analysis: data integrity, test design, analysis, validation, and documentation. Write high quality SQL code to retrieve and analyze data. Learn and understand a broad range of Amazon's data resources and know how, when, and which to use. Manage and execute entire projects or components of large projects from start to finish including project management, data gathering and manipulation, synthesis and modeling, problem solving, and communication of insights and recommendations. Build scalable database solutions when required. Participate in periodic reviews with Amazon Executive Leadership team. FBA leverages Amazon's global fulfillment and customer service network for third party sellers who want to grow their business on and off Amazon.com. FBA enables customers to take advantage of Free Super Saver Shipping and Amazon Prime on third party items, while sellers can focus on selling rather than shipping. The Sr. Product Manager will be responsible for driving analysis in an effort to improve our understanding of Seller's costs globally. The role is global in scope and includes strategy, analysis and execution for FBA in North America, Europe and Asia."
Genesis10,"Full Time, Direct Placement","Developer, Hardware, Java, Linux, Python, Software, Systems"
Thinkfind Corporation,,"C#, SQL, Stored Procedures, .NET, TCP/IP, Multithreadin"
"VanderHouwen & Associates, Inc.","Contract W2, Contract",B2C digital product management
Genesis10,"Full Time, Direct Placement","Algorithms, C++, Developer, Development, JavaScript, Libraries, Linux, Network, Performance, Perl, Programming, Protocols, Python, Software, System, Systems, TCP/IP, Unix"
"VanderHouwen & Associates, Inc.","Full Time, Full time","business development, sales, staffing"
Genesis10,"Full Time, Full Time/Contract",Recruiter
Alpha Consulting Corp.,"Contract Independent, Contract W2, 3+ mos",(TECHNICAL WRITER OR TECH WRITING OR TECH WRITER ) AND(STANDARD OPERATING PROCEDURES OR SOP OR WORK INSTRUCTIONS OR PROCESS FLOWS ) AND(VISIO )
Genesis10,Full Time,"Analyst, Applications, Computer, Database, Development, Excel, Java, Management, Programming, Project, Project Management, Quality, Quality Assurance, Scripts, Software, SQL, Supervision, Test, Testing, VB, Web"
"VanderHouwen & Associates, Inc.","Contract W2, Contract",(See Job Description)
Turnberry Solutions,"Contract Independent, Contract W2, 7+ mos",(AUTOMATED TESTING over 3 year(s) ) AND (JAVA DEVELOPER over 2 year(s) )
Precision Task Group,,Telecommuting not available Travel not required
Ascent,"Contract Independent, Contract W2","DevOps Engineer, Chef, Jenkins"
"Maxonic, Inc.","Contract Corp-To-Corp, Contract Independent, Contract W2","Network Engineering, IP Video Delivery, Content Delivery Networks, Linux System Admin"
Fahrenheit IT Staffing & Consulting,,(See Job Description)
"VanderHouwen & Associates, Inc.","Contract W2, Contract",SaaS solution Coupa
"VanderHouwen & Associates, Inc.","Contract W2, Contract","CISSP, CISM, CISA"
Amazon,"Full Time, Permanent",Java and C/C++
Genesis10,"Full Time, Contract","Consulting, Lifecycle, Manager, Management, Project, Project Management, Sales, SalesForce, Scheduling, Telecommunications"
"Maxonic, Inc.","C2H Corp-To-Corp, C2H Independent, C2H W2","Software, Retail, Buying, Demand Planning, system, Analysis, Design, Supply Chain, applications development, WebSphere, WebLogic, Oracle, DB2, SQL Server, UNIX/AIX, Windows, and Mainframe"
Genesis10,"Full Time, Direct Placement","Developer, Development, HTTP, Java, JavaScript, Lifecycle, Management, Programming, Project, Python, Release, Risk Management, Scheduling, SQL, Testing"
Fahrenheit IT Staffing & Consulting,,Telecommuting not available Travel not required
Tailwind Associates,,(ROUTERS ) AND (FIREWALLS OR FIREWALL ) AND(MANAGER ) AND (CISCO )
Princeton Information Ltd,"Full Time, FULL_TIME","Access, Application, Business Requirements, CASE, Consulting, Development, IT, Manager, Program Manager, Project, Telecom"
SMCI,"Contract W2, 5","Mortgage/Equiting Lending, Lean Six Sigma Green Belt/Black Belt"
"TAD PGS, Inc","Contract W2, 12 Months","TAD PGS, INC. specializes in delivering secure, reliable and rapidly implemented workforce solutions to the U.S. Federal marketplace, including U.S. Government agencies and their prime contractors. Wi"
Mitchell Martin,"Contract Corp-To-Corp, Contract Independent, Contract W2, C2H Corp-To-Corp, C2H Independent, C2H W2, Contract","Analysis, Architecture, Business Requirements, Citrix, CSS, Development, Exchange, HTML, HTTP, IIS, Java, Linux, Management, Oracle, SQL, VMware, WebSphere, Windows"
